"","Edu2F","LabRatio","LifeExpectancy","EYE","GNI","MaternalMortality","Adolescent.Birth.Rate","Parliament"
"Bosnia and Herzegovina",44.9,0.595113438045375,76.5,13.6,"9,638",8,15.1,19.3
"Ecuador",40.1,0.66142684401451,75.9,14.2,"10,605",87,77,41.6
"China",58.7,0.816091954022989,75.8,13.1,"12,547",32,8.6,23.6
"Fiji",64.2,0.520833333333333,70,15.7,"7,493",59,42.8,14
"Mongolia",85.3,0.816738816738817,69.4,14.6,"10,729",68,18.7,14.9
"Thailand",35.7,0.796778190830235,74.4,13.5,"13,323",26,41,6.1
"Libya",55.5,0.392670157068063,71.6,14,"14,911",15,2.5,16
"Tunisia",32.8,0.354019746121298,74.8,14.6,"10,404",46,4.6,31.3
"Colombia",56.9,0.700125470514429,74,13.5,"12,040",83,68.5,20.9
"Jamaica",74,0.791255289139633,75.7,12.4,"7,415",80,70.1,16.7
"Tonga",87.5,0.7171581769437,72.8,14.7,"5,069",120,18.1,0
"Belize",76.4,0.597812879708384,70,13.6,"7,614",45,71.4,13.3
"Dominican Republic",55.6,0.652671755725191,73.5,13.1,"11,883",100,99.6,19.1
"Suriname",44.6,0.588662790697674,71.1,12.7,"15,617",130,35.2,11.8
"Maldives",27.3,0.725161290322581,76.8,13,"12,328",31,4.2,5.9
"Samoa",64.3,0.402397260273973,73.4,12.9,"5,327",58,28.3,6.1
"Botswana",73.6,0.881127450980392,64.5,12.5,"16,646",170,44.2,9.5
"Moldova (Republic of)",93.6,0.850678733031674,71.6,11.9,"5,223",21,29.3,20.8
"Egypt",43.9,0.316844919786096,71.1,13.5,"10,512",45,43,2.2
"Gabon",53.9,0.859327217125382,64.4,12.5,"16,367",240,103,16.2
"Indonesia",39.9,0.610451306413302,68.9,13,"9,788",190,48.3,17.1
"Paraguay",36.8,0.65683962264151,72.9,11.9,"7,643",110,67,16.8
"Philippines",65.9,0.641154328732748,68.2,11.3,"7,915",120,46.8,27.1
"El Salvador",36.8,0.605063291139241,73,12.3,"7,349",69,76,27.4
"South Africa",72.7,0.735537190082645,57.4,13.6,"12,122",140,50.9,40.7
"Viet Nam",59.4,0.888077858880779,75.8,11.9,"5,092",49,29,24.3
"Bolivia (Plurinational State of)",47.6,0.793572311495674,68.3,13.2,"5,760",200,71.9,51.8
"Kyrgyzstan",94.5,0.70440251572327,70.6,12.5,"3,044",75,29.3,23.3
"Iraq",27.8,0.213467048710602,69.4,10.1,"14,003",67,68.7,26.5
"Guyana",60.3,0.529192546583851,66.4,10.3,"6,522",250,88.5,31.3
"Nicaragua",39.4,0.590286425902864,74.9,11.5,"4,457",100,100.8,39.1
"Morocco",20.7,0.349604221635884,74,11.6,"6,850",120,35.8,11
"Namibia",33.3,0.858712715855573,64.8,11.3,"9,418",130,54.9,37.7
"Guatemala",21.9,0.558956916099773,71.8,10.7,"6,929",140,97.2,13.3
"Tajikistan",95.1,0.763942931258106,69.4,11.2,"2,517",44,42.8,15.2
"India",27,0.337922403003755,68,11.7,"5,497",190,32.8,12.2
"Honduras",28,0.516284680337756,73.1,11.1,"3,938",120,84,25.8
"Bhutan",34,0.863989637305699,69.5,12.6,"7,176",120,40.9,8.3
"Syrian Arab Republic",29.5,0.185694635488308,69.6,12.3,"2,728",49,41.6,12.4
"Congo",39.7,0.938356164383562,62.3,11.1,"6,012",410,126.7,11.5
"Zambia",25.8,0.853971962616822,60.1,13.5,"3,734",280,125.4,12.7
"Ghana",45.2,0.942577030812325,61.4,11.5,"3,852",380,58.4,10.9
"Bangladesh",34.1,0.682520808561237,71.6,10,"3,191",170,80.6,20
"Cambodia",9.9,0.910982658959538,68.4,10.9,"2,949",170,44.3,19
"Kenya",25.3,0.859116022099447,61.6,11,"2,762",400,93.6,20.8
"Nepal",17.7,0.917336394948335,69.6,12.4,"2,311",190,73.7,29.5
"Pakistan",19.3,0.296743063932449,66.2,7.8,"4,866",170,27.3,19.7
"Myanmar",22.9,0.913730255164034,65.9,8.6,"4,608",200,12.1,4.7
"Swaziland",21.9,0.613128491620112,49,11.3,"5,542",310,72,14.7
"Tanzania (United Republic of)",5.6,0.976718403547672,65,9.2,"2,411",410,122.7,36
"Cameroon",21.3,0.830729166666667,55.5,10.4,"2,803",590,115.8,27.1
